open_time,close,open,high,low,ignored,ret
2005-09-25,1228.8,1215.3,1229.6,1211.1,"1,11%",-0.006704903465546641
2005-10-02,1195.9,1228.8,1233.3,1181.9,"-2,68%",0.0030091086532206823
2005-10-09,1186.6,1195.9,1196.5,1168.2,"-0,78%",-0.029838644287683458
2005-10-16,1179.6,1186.6,1197.3,1170.5,"-0,59%",0.0006686167989971015
2005-10-23,1198.4,1179.6,1204.0,1178.9,"1,59%",0.005595924162699495
2005-10-30,1220.1,1198.4,1224.7,1198.4,"1,81%",0.017192691029900287
2005-11-06,1234.7,1220.1,1235.7,1215.0,"1,20%",0.008981791459132804
2005-11-13,1248.3,1234.7,1249.6,1226.4,"1,10%",0.01124868495589526
2005-11-20,1268.2,1248.3,1270.6,1246.9,"1,59%",0.016805377720870762
2005-11-27,1265.1,1268.2,1268.4,1249.4,"-0,24%",-0.001731465449393843
2005-12-04,1259.4,1265.1,1272.9,1250.9,"-0,45%",0.0035477767265845728
2005-12-11,1267.3,1259.4,1275.8,1255.5,"0,63%",0.002278262235839268
2005-12-18,1268.7,1267.3,1270.5,1257.2,"0,11%",-0.004154256153002023
2005-12-25,1248.3,1268.7,1271.8,1246.6,"-1,61%",0.0010232192050374511
2006-01-01,1285.5,1248.3,1286.1,1245.7,"2,98%",0.011243906274571502
2006-01-08,1287.6,1285.5,1294.9,1282.8,"0,16%",0.006842391726926467
2006-01-15,1261.5,1287.6,1287.8,1260.9,"-2,03%",-0.0054830488840837965
2006-01-22,1283.7,1261.5,1286.4,1259.4,"1,76%",-0.001087125330020089
2006-01-29,1264.0,1283.7,1287.9,1261.0,"-1,53%",0.0011660447761194792
2006-02-05,1267.0,1264.0,1274.6,1253.6,"0,24%",-0.010326888733597439
2006-02-12,1287.2,1267.0,1289.5,1258.3,"1,59%",0.011689941942570226
2006-02-19,1289.4,1287.2,1294.2,1281.3,"0,17%",0.0036448235750290436
2006-02-26,1287.2,1289.4,1297.6,1278.7,"-0,17%",0.0026271055478286343
2006-03-05,1281.6,1287.2,1288.2,1268.4,"-0,44%",-0.0072441430332921275
2006-03-12,1307.2,1281.6,1310.5,1281.6,"2,00%",0.01731097655643521
2006-03-19,1303.0,1307.2,1310.9,1295.8,"-0,32%",0.00030522701259072527
2006-03-26,1294.8,1303.0,1310.2,1291.8,"-0,63%",-0.00053398428560536
2006-04-02,1295.5,1302.9,1314.1,1294.2,"0,05%",0.0029766447870553936
2006-04-09,1289.1,1295.5,1300.7,1283.0,"-0,49%",-0.010197093067498608
2006-04-16,1311.3,1289.1,1318.2,1280.7,"1,72%",0.013454293841777432
